lno2,       lc,         t2,       ws,     td25,    wd,       hd,    dn
4.75875,    7.68570,     01.8,    1.8,    -1.1,    269.0,    10,    138
4.56954,    8.08364,    -07.0,    1.4,    -0.1,    242.3,    15,    467
1.22378,    6.16331,    -03.7,    3.9,     0.3,    030.9,    01,    406
6.39509,    7.57302,    -04.6,    0.8,     1.3,    087.2,    14,    464
4.24133,    7.02376,    -13.6,    2.9,     0.1,    082.1,    22,    488
4.57883,    7.97281,     06.3,    4.2,    -0.6,    081.0,    09,    194
3.93769,    5.81413,    -09.1,    2.1,     0.6,    079.0,    03,    083
3.92986,    6.60800,     07.2,    0.6,     1.3,    191.4,    24,    598
3.33577,    7.35628,     04.4,    2.4,     0.3,    076.6,    20,    573
2.95491,    7.30586,     15.4,    1.6,    -2.2,    279.2,    14,    565
3.55535,    5.11199,     00.7,    1.1,     1.6,    048.0,    04,    161
2.69463,    5.56834,     04.8,    1.6,     0.6,    220.0,    02,    204
4.32678,    6.56386,    -01.2,    2.1,     1.9,    192.9,    06,    446
4.88129,    7.84189,     00.4,    2.9,     1.9,    279.0,    18,    043
4.56539,    7.67555,    -03.1,    1.3,     0.3,    082.1,    14,    423
4.20916,    8.31066,     11.3,    3.4,     0.0,    200.3,    08,    603
3.21888,    5.52545,    -05.8,    5.0,    -0.2,    070.0,    07,    441
2.65324,    5.54908,     05.5,    2.0,    -0.1,    075.1,    02,    582
4.34251,    8.06401,     03.6,    2.3,    -0.3,    009.4,    09,    549
3.64545,    5.09987,     06.7,    4.3,     0.6,    183.8,    02,    590
1.54756,    5.49306,     07.1,    5.4,     1.5,    255.0,    06,    042
4.18205,    7.74110,    -05.7,    2.7,    -0.5,    085.4,    10,    401
4.14946,    8.34640,     20.8,    2.4,    -2.4,    230.0,    16,    605
3.80444,    7.91206,     01.2,    3.3,     0.7,    219.0,    19,    537
4.07923,    7.60937,    -00.1,    3.9,    -0.2,    074.3,    10,    430
3.14845,    6.76734,    -06.8,    3.3,     0.0,    076.3,    24,    450
4.24276,    7.61727,    -04.2,    3.7,    -0.1,    217.8,    10,    481
2.61007,    5.80212,     02.2,    1.0,     1.3,    299.0,    06,    140
3.19458,    4.55388,     02.5,    3.9,     0.1,    195.5,    03,    548
3.81331,    7.57763,    -00.2,    2.8,    -0.1,    085.0,    16,    111
3.77046,    8.06746,     19.6,    2.6,    -2.8,    244.4,    14,    605
2.76632,    5.66643,     01.3,    2.1,     1.8,    226.8,    06,    546
3.21084,    5.49717,     04.2,    4.4,     1.5,    254.0,    05,    080
3.37417,    8.07527,     03.4,    5.3,    -0.9,    010.5,    09,    550
3.72086,    8.02027,    -05.2,    4.3,    -0.1,    017.0,    16,    116
4.76217,    7.60240,    -03.9,    2.8,     0.0,    076.0,    10,    068
4.01458,    8.25635,     08.4,    3.1,    -0.5,    225.0,    17,    207
4.30407,    7.24708,    -10.6,    5.5,     0.0,    062.5,    10,    456
3.17805,    7.93272,    -03.9,    4.0,    -0.3,    078.4,    15,    452
1.36098,    4.39445,     01.3,    4.4,     0.0,    115.0,    04,    059
4.40916,    7.66856,    -02.9,    1.6,     0.7,    065.3,    20,    446
4.02892,    7.26613,     00.9,    0.9,     0.4,    090.0,    21,    075
2.89037,    7.70616,     02.1,    6.3,     0.0,    044.4,    13,    574
3.88156,    8.11851,     00.6,    7.1,    -0.2,    074.6,    08,    425
4.51852,    7.75319,    -05.6,    1.5,     0.1,    238.8,    10,    445
4.01096,    7.65207,    -04.5,    4.2,    -0.2,    100.0,    19,    423
3.74242,    7.66011,     06.4,    3.5,    -0.2,    090.8,    20,    571
3.71601,    7.59035,     11.7,    6.4,    -0.2,    235.0,    13,    034
2.85071,    6.70564,    -05.6,    2.4,    -0.4,    075.5,    10,    518
4.51305,    8.17132,    -05.6,    3.5,     0.6,    079.0,    08,    101
3.99452,    7.76217,     12.2,    6.2,    -2.1,    221.0,    14,    193
2.40695,    7.22621,    -06.5,    3.8,    -0.1,    052.0,    21,    089
3.91202,    7.53423,     01.6,    1.7,    -1.5,    336.0,    11,    135
4.45899,    7.49165,    -09.5,    2.0,    -0.1,    077.3,    20,    437
3.78872,    7.83953,     11.5,    2.5,    -2.7,    243.6,    15,    575
3.92197,    7.61874,    -12.6,    2.1,     0.5,    081.0,    15,    091
3.16969,    7.82724,     17.8,    3.5,    -1.7,    254.1,    17,    568
4.46245,    7.59589,    -02.7,    1.3,     1.2,    159.1,    19,    400
2.92852,    4.81218,     02.7,    1.9,     0.3,    204.2,    02,    479
5.78105,    7.87284,     01.7,    1.2,     1.4,    097.0,    15,    078
1.28093,    5.65948,    -05.1,    3.9,     0.0,    046.5,    07,    406
4.09101,    8.04206,     06.2,    1.2,     1.3,    261.0,    18,    033
3.62966,    7.15774,    -01.1,    1.6,    -0.1,    065.0,    22,    150
3.37759,    6.24417,     02.7,    1.5,     0.4,    196.9,    24,    478
5.54713,    8.14206,    -05.1,    1.5,     1.5,    237.0,    08,    152
2.63906,    4.49981,     03.9,    3.6,     0.1,    068.0,    03,    198
3.99268,    6.57508,     06.2,    1.3,     1.1,    226.0,    24,    200
3.66099,    4.64439,    -03.3,    1.9,     1.3,    088.0,    03,    051
2.82731,    4.98361,    -05.6,    4.3,    -0.1,    078.0,    05,    085
4.29592,    7.72356,    -05.1,    0.7,    -0.2,    216.6,    11,    445
4.94876,    7.76132,     00.0,    0.7,     0.6,    147.7,    18,    470
2.68785,    6.18002,     08.9,    4.8,     1.0,    215.0,    01,    034
4.04830,    7.21598,     08.8,    2.1,     0.7,    090.1,    21,    579
3.32863,    5.50939,     10.3,    2.2,     1.4,    037.4,    04,    608
4.13996,    4.99043,     01.3,    2.3,     2.2,    277.0,    02,    053
3.74242,    7.04229,    -05.2,    2.5,    -0.3,    073.0,    11,    085
4.28082,    7.35308,     02.4,    1.1,     0.9,    077.0,    21,    187
2.79728,    4.12713,     02.5,    5.6,     0.3,    213.5,    03,    526
3.65584,    7.76980,     06.1,    2.5,    -1.0,    237.2,    13,    545
4.02535,    7.58731,     02.1,    3.4,    -0.7,    354.0,    11,    040
3.44042,    5.63835,    -13.8,    1.0,     1.8,    061.0,    07,    091
4.42485,    7.64204,     10.2,    2.6,    -2.1,    249.5,    14,    534
3.94352,    5.26269,    -00.9,    1.1,     2.1,    271.0,    05,    048
4.21804,    7.25205,     07.1,    2.4,     0.4,    063.0,    21,    197
3.44999,    5.19296,    -18.6,    2.7,     0.8,    086.0,    05,    092
2.52573,    7.31986,     16.8,    3.4,    -0.3,    041.5,    17,    564
4.47050,    7.68064,     00.3,    1.3,     1.4,    221.8,    19,    469
4.18205,    8.15680,    -00.7,    5.1,     0.0,    057.2,    16,    425
3.17388,    6.94794,    -03.4,    0.6,    -0.5,    097.0,    11,    119
4.62399,    7.14204,    -01.6,    2.1,     2.0,    085.0,    22,    078
2.73437,    5.06260,    -02.1,    2.5,    -0.1,    081.7,    04,    400
3.25810,    6.13123,     03.5,    8.4,     0.6,    209.9,    07,    475
3.22684,    6.85857,    -04.8,    3.1,    -0.1,    086.0,    23,    115
2.98062,    5.39816,     00.7,    1.3,     0.8,    208.0,    06,    180
3.84374,    5.14749,    -09.0,    1.3,     0.4,    077.0,    02,    088
4.26127,    8.16707,     06.3,    4.8,    -0.3,    061.0,    15,    194
3.39786,    6.61740,     02.2,    3.9,     0.0,    067.0,    06,    199
3.39451,    7.43248,     08.9,    2.0,    -2.4,    201.4,    12,    581
4.36437,    7.76302,     12.3,    2.0,    -3.7,    273.4,    11,    563
2.26176,    5.42495,     01.1,    3.8,    -0.1,    079.0,    05,    070
3.44042,    7.12769,     00.1,    4.2,     1.0,    235.0,    22,    141
4.12713,    7.41998,    -04.6,    3.0,    -0.1,    082.0,    20,    115
2.98062,    6.89163,     00.1,    1.0,     0.5,    334.0,    23,    066
3.65066,    7.97247,    -04.8,    3.7,     0.0,    016.0,    18,    116
4.25135,    7.75018,     09.9,    1.8,    -1.3,    266.3,    14,    529
3.65842,    7.42536,     04.0,    5.8,     0.2,    184.6,    20,    402
3.99083,    7.63723,    -05.4,    4.1,    -0.2,    072.5,    17,    440
4.44147,    6.55108,    -12.0,    2.8,     0.4,    082.5,    06,    444
2.28238,    4.98361,     01.8,    3.5,     0.3,    121.0,    04,    128
3.92790,    6.57508,     05.0,    0.8,     0.3,    262.7,    06,    403
3.35690,    7.09257,     04.6,    3.4,     0.2,    194.0,    22,    109
4.18814,    7.83201,    -00.2,    0.6,    -0.3,    099.7,    07,    541
4.20170,    7.55329,    -00.9,    1.1,    -0.3,    092.0,    13,    051
2.41591,    7.23778,     11.9,    4.2,    -1.3,    233.0,    15,    180
4.33336,    8.20084,    -09.0,    2.4,     0.0,    084.0,    08,    100
1.58924,    5.81711,     01.3,    3.8,     0.3,    033.0,    05,    174
4.04830,    8.26462,     07.7,    2.6,    -0.8,    069.1,    16,    571
2.65324,    5.05625,    -07.0,    3.2,    -0.1,    067.0,    20,    085
4.06732,    7.73193,     02.6,    4.2,    -0.2,    077.9,    14,    514
3.86283,    5.99396,     01.6,    1.7,     1.5,    209.1,    01,    545
3.98155,    7.64108,     06.7,    2.3,    -0.4,    247.0,    10,    033
3.81331,    7.74587,     01.6,    2.1,    -0.1,    146.0,    17,    167
4.31615,    5.14749,    -06.5,    1.7,     0.8,    184.0,    05,    154
3.33932,    5.66643,     06.7,    2.4,    -0.1,    066.1,    05,    592
3.96651,    7.34923,    -00.4,    1.9,     1.0,    077.0,    21,    072
3.86073,    4.45435,    -13.8,    4.2,     0.2,    080.0,    04,    095
2.56495,    4.58497,     01.8,    2.3,     0.1,    059.0,    04,    164
4.30946,    7.68202,     03.5,    5.0,    -1.0,    078.0,    11,    166
2.94444,    6.52942,     09.5,    6.5,    -0.8,    210.0,    10,    035
4.17439,    7.75791,     05.2,    4.6,    -0.8,    214.0,    14,    176
2.95491,    5.78996,     08.4,    0.5,    -2.6,    108.5,    07,    588
4.03247,    8.16223,     04.7,    5.9,     0.4,    207.0,    17,    128
